id,frase,categorias,nivel_gravedad,descripcion
1,eres un inútil,"insulto directo, desprecio",90,Frase ofensiva que ataca directamente la capacidad de una persona.
2,no sirves para nada,"humillación, desprecio",90,Expresión agresiva que niega el valor personal del receptor.
3,cállate de una vez,"agresión verbal, tono imperativo",70,"Intenta silenciar de forma autoritaria, suele denotar hostilidad."
4,ese tipo me da asco,"lenguaje ofensivo, rechazo social",50,"Desprecio abierto hacia alguien, puede fomentar exclusión."
5,idiota,insulto directo,70,Insulto común pero efectivo para dañar autoestima.
6,estúpido,insulto cognitivo,70,Ataque directo a la inteligencia de la persona.
7,tonto,insulto leve,50,Insulto de menor intensidad pero igualmente hiriente.
8,feo,insulto físico,20,Ataque a la apariencia física de la persona.
9,gordo,insulto físico,50,Comentario despectivo sobre el peso corporal.
10,perdedor,etiqueta social negativa,50,Intenta clasificar socialmente de forma negativa.
11,fracasado,desprecio personal,70,Ataque al éxito y logros personales.
12,nadie te quiere,exclusión social,90,Intenta aislar socialmente a la víctima.
13,vete a morir,amenaza extrema,90,"Expresión de deseo de muerte, muy grave."
14,te voy a pegar,amenaza física,90,Amenaza directa de violencia física.
15,déjame en paz,rechazo moderado,20,"Expresión de distanciamiento, menos agresiva."
16,no me hables,rechazo social,20,Intento de cortar comunicación.
17,eres patético,desprecio total,70,Expresión de desprecio completo hacia la persona.
18,qué asco,expresión de disgusto,50,Manifestación de repulsión hacia algo o alguien.
19,me das pena,condescendencia,50,Expresión de superioridad condescendiente.
20,eres un monstruo,deshumanización,90,Intenta deshumanizar a la víctima.
21,te voy a matar,amenaza extrema,90,Amenaza explícita de muerte
22,cuando te vea te voy a matar,amenaza extrema,90,Condicional mortal directo
23,te voy a meter un plomazo,amenaza con arma,90,Amenaza con arma de fuego
24,te voy a dar bala,amenaza con arma,90,Amenaza con arma de fuego
25,te voy a quemar vivo,amenaza extrema,90,Amenaza de tortura
26,te voy a destripar,amenaza extrema,90,Amenaza de daño físico grave
27,prepara tu cajón,amenaza velada,90,Alusión mortal velada
28,te voy a violar,amenaza sexual,90,Amenaza sexual extrema
29,te voy a sacar la chucha,amenaza física,90,Golpe violento explícito
30,te voy a mandar al hoyo,amenaza velada,90,Alusión a muerte
31,te voy a reventar la cabeza,amenaza física,90,Daño físico severo
32,te voy a cortar la garganta,amenaza extrema,90,Amago de homicidio violento
33,te voy a partir la cara,amenaza física,90,Agresión severa a rostro
34,te voy a romper el hocico,amenaza física,90,Golpe facial violento
35,te voy a reventar,amenaza física,90,Golpe contundente
36,te haré papilla,amenaza física,90,Destrucción física figurada
37,te voy a pasar la varilla,amenaza con objeto,90,Golpe con objeto contundente
38,te voy a quemar con ácido,amenaza con arma química,90,Amenaza extrema con arma química
39,te voy a patear,amenaza física,90,Advertencia de golpiza
40,te voy a sacar la madre,amenaza física,90,Expresión figurada de agresión
41,te voy a dar una paliza,amenaza física,90,Anuncio de agresión física
42,te voy a dar hasta que sangres,amenaza física,90,Violencia física extrema
43,te voy a aplastar,amenaza física,70,Expresión de agresión física
44,te voy a romper la cara con un golpe,amenaza física,70,Golpe directo al rostro
45,te voy a dar con la correa,amenaza con objeto,70,Golpe moderado con objeto
46,pendejo,insulto directo,70,Insulto muy común en Latinoamérica
47,imbécil,insulto cognitivo,70,Ofensa fuerte a la capacidad cognitiva
48,tarado,insulto cognitivo,50,Insulto fuerte a la capacidad mental 
49,mongólico,insulto discriminatorio,50,Uso inapropiado del término médico
50,retrasado,insulto discriminatorio,50,Ofensa neurocognitiva
51,cojudo,insulto directo,50,Insulto rudeza física
52,huevón,insulto directo,50,Insulto común en varios países
53,bagre,insulto físico,50,Burla por apariencia
54,cholo,insulto étnico,50,Ofensa étnica/regional
55,mono,insulto físico,50,Burla por aspecto físico
56,indio,insulto étnico,50,Ofensa étnica
57,negro,insulto racial,50,Ofensivo racial
58,prieto,insulto racial,50,Ofensivo racial
59,bruja,insulto de género,50,Insulto despectivo a mujer
60,zorra,insulto sexual,50,Insulto sexual ofensivo
61,cerda,insulto sexual,50,Insulto ofensivo sexual/grosero
62,gorda,insulto físico,50,Insulto físico
63,vaca,insulto físico,50,Insulto corporal
64,puta,insulto sexual,50,Insulto sexual ofensivo
65,marica,insulto homofóbico,50,Insulto a orientación sexual
66,maricón,insulto homofóbico,50,Insulto ofensivo sexual
67,puerca apestosa,insulto físico,50,Insulto corporal extremo
68,chucha,insulto corporal,50,Insulto corporal
69,bobo,insulto leve,50,Insulto leve común
70,torpe,insulto leve,20,Burla leve
71,lento,insulto cognitivo,20,Burla a la velocidad mental/física
72,ridículo,burla social,20,Burla por aspecto o acción
73,payaso,burla social,20,Burla por comportamiento
74,flojo,insulto comportamiento,20,Burla por falta de esfuerzo
75,haragán,insulto comportamiento,20,Burla por pereza
76,cobarde,insulto carácter,20,Burla por miedo o falta de valor
77,nerdo,burla académica,20,Burla a intelecto o pasión académica
78,nerd,burla académica,20,Burla a perfil intelectual
79,gallina,insulto carácter,20,Burla por cobardía
80,pollito,burla infantil,20,Burla infantil
81,mamarracho,burla física,20,Burla por apariencia extravagante
82,caricato,burla física,20,Burla por gestos o apariencia
83,chiro,burla social,20,Burla social/económica
84,bagre apestoso,insulto físico,20,Burla física leve
85,payasito,burla social,20,Burla irónica
86,zángano,insulto comportamiento,20,Insulto por vagancia
87,apestado,burla social,20,Burla social
88,pesado,burla comportamiento,20,Burla por ser fastidioso
89,ñañito llorón,burla infantil,20,Burla por lloriqueo
90,maricucha,insulto leve,20,Insulto sexual leve
91,bruto,insulto cognitivo,20,Burla a la inteligencia
92,bruta,insulto cognitivo,20,Burla a la inteligencia
93,caradura,burla carácter,20,Burla por descaro
94,fachoso,burla física,20,Burla por mal vestir
95,facha,burla física,20,Burla estética
96,pata seca,burla económica,20,Burla económica
97,cara de mosca,burla física,20,Burla por expresión facial
98,cara de chancho,burla física,20,Burla por expresión facial
